iter	Passed	Remaining
0	142	142723
1	144	72060
2	145	48410
3	147	36622
4	148	29559
5	149	24741
6	150	21305
7	150	18708
8	151	16727
9	152	15134
10	153	13835
11	154	12743
12	155	11820
13	156	11025
14	157	10325
15	157	9712
16	159	9194
17	160	8739
18	161	8340
19	162	7954
20	163	7608
21	164	7291
22	164	6997
23	165	6737
24	166	6498
25	167	6275
26	168	6069
27	169	5877
28	170	5700
29	171	5536
30	172	5379
31	173	5237
32	174	5099
33	174	4967
34	175	4845
35	176	4725
36	177	4611
37	177	4498
38	178	4397
39	179	4305
40	180	4216
41	181	4135
42	182	4050
43	183	3979
44	184	3911
45	185	3847
46	186	3784
47	187	3727
48	188	3663
49	189	3598
50	190	3535
51	190	3476
52	191	3419
53	192	3363
54	193	3316
55	194	3272
56	195	3230
57	196	3189
58	197	3150
59	198	3112
60	199	3075
61	200	3039
62	201	3004
63	203	2971
64	204	2935
65	204	2898
66	205	2858
67	205	2817
68	206	2779
69	206	2743
70	207	2712
71	208	2685
72	209	2659
73	210	2634
74	211	2609
75	212	2584
76	213	2561
77	214	2538
78	215	2517
79	216	2495
80	218	2475
81	218	2450
82	219	2425
83	220	2402
84	220	2377
85	221	2359
86	222	2336
87	223	2319
88	224	2301
89	225	2283
90	226	2264
91	227	2243
92	228	2223
93	228	2204
94	229	2186
95	230	2169
96	231	2151
97	231	2132
98	232	2113
99	232	2094
100	233	2075
101	233	2054
102	233	2036
103	234	2018
104	234	2001
105	235	1984
106	235	1967
107	236	1950
108	236	1934
109	237	1918
110	237	1902
111	237	1886
112	238	1871
113	238	1856
114	239	1841
115	239	1826
116	240	1813
117	240	1800
118	241	1787
119	241	1774
120	242	1761
121	243	1749
122	243	1735
123	243	1723
124	244	1712
125	245	1702
126	246	1691
127	246	1680
128	247	1670
129	247	1659
130	248	1649
131	249	1638
132	249	1628
133	250	1618
134	251	1608
135	251	1599
136	252	1589
137	252	1579
138	253	1570
139	254	1560
140	254	1550
141	255	1540
142	255	1531
143	255	1521
144	256	1512
145	257	1503
146	257	1494
147	258	1486
148	258	1477
149	259	1469
150	259	1460
151	260	1451
152	260	1443
153	261	1434
154	261	1426
155	262	1418
156	262	1410
157	263	1402
158	263	1395
159	264	1388
160	264	1380
161	265	1373
162	266	1366
163	266	1359
164	267	1352
165	267	1345
166	268	1338
167	268	1331
168	269	1325
169	270	1318
170	270	1311
171	271	1305
172	271	1298
173	272	1292
174	272	1285
175	273	1279
176	273	1273
177	274	1267
178	274	1261
179	275	1254
180	275	1247
181	276	1241
182	276	1235
183	277	1229
184	277	1224
185	278	1218
186	278	1212
187	279	1207
188	279	1201
189	280	1195
190	281	1190
191	281	1184
192	282	1179
193	282	1173
194	283	1168
195	283	1163
196	284	1157
197	284	1152
198	285	1147
199	285	1142
200	286	1136
201	286	1131
202	287	1127
203	287	1122
204	288	1117
205	288	1112
206	289	1107
207	289	1102
208	290	1097
209	290	1093
210	291	1089
211	291	1084
212	292	1080
213	292	1076
214	293	1071
215	294	1067
216	294	1063
217	295	1059
218	295	1055
219	296	1050
220	296	1046
221	297	1042
222	298	1038
223	298	1034
224	299	1030
225	299	1027
226	300	1024
227	301	1020
228	302	1017
229	302	1013
230	303	1010
231	304	1006
232	304	1003
233	305	1000
234	306	996
235	306	993
236	307	989
237	307	986
238	308	982
239	309	978
240	309	975
241	310	971
242	310	968
243	311	964
244	311	961
245	312	957
246	313	954
247	313	951
248	314	947
249	314	944
250	315	941
251	316	938
252	316	934
253	317	931
254	317	928
255	318	925
256	318	922
257	319	918
258	320	915
259	320	912
260	321	909
261	321	906
262	322	903
263	323	900
264	323	897
265	324	894
266	324	891
267	325	888
268	325	885
269	326	882
270	326	879
271	327	876
272	328	873
273	328	871
274	329	868
275	330	866
276	330	863
277	331	861
278	332	858
279	332	855
280	333	852
281	333	850
282	334	847
283	335	844
284	335	842
285	336	839
286	336	836
287	337	834
288	337	831
289	338	828
290	339	826
291	339	823
292	340	821
293	340	818
294	341	815
295	342	813
296	342	811
297	343	809
298	344	806
299	344	804
300	345	802
301	346	800
302	347	798
303	347	795
304	348	793
305	349	791
306	349	789
307	350	787
308	351	785
309	351	783
310	352	780
311	353	778
312	353	776
313	354	774
314	354	771
315	355	769
316	355	766
317	356	764
318	357	762
319	357	759
320	358	757
321	358	755
322	359	752
323	359	750
324	360	748
325	360	746
326	361	743
327	362	741
328	362	739
329	363	737
330	363	734
331	364	732
332	364	730
333	365	727
334	365	725
335	365	723
336	366	720
337	366	718
338	367	716
339	367	714
340	368	711
341	368	709
342	369	707
343	369	705
344	370	703
345	371	701
346	371	699
347	371	696
348	372	694
349	372	692
350	373	690
351	373	688
352	374	685
353	374	683
354	375	681
355	375	679
356	376	677
357	376	675
358	377	673
359	377	671
360	378	669
361	378	667
362	379	665
363	379	663
364	380	661
365	380	659
366	381	658
367	382	656
368	382	654
369	383	652
370	383	650
371	384	649
372	385	647
373	385	646
374	386	644
375	387	642
376	388	641
377	388	639
378	389	638
379	390	636
380	390	634
381	391	633
382	392	631
383	392	630
384	393	628
385	394	627
386	394	625
387	395	623
388	396	622
389	396	620
390	397	618
391	397	617
392	398	615
393	398	613
394	399	611
395	399	610
396	400	608
397	400	606
398	401	604
399	401	602
400	402	601
401	403	599
402	403	597
403	404	596
404	404	594
405	405	592
406	405	591
407	406	589
408	406	587
409	407	586
410	408	584
411	408	583
412	409	581
413	409	580
414	410	578
415	411	577
416	411	575
417	412	574
418	413	572
419	413	571
420	414	570
421	415	568
422	415	567
423	416	565
424	417	564
425	417	562
426	418	561
427	418	559
428	419	558
429	420	556
430	420	555
431	421	553
432	421	552
433	422	550
434	422	549
435	423	547
436	424	546
437	424	544
438	425	543
439	426	542
440	426	540
441	427	539
442	427	537
443	428	536
444	429	535
445	429	533
446	430	532
447	431	531
448	431	529
449	432	528
450	433	527
451	433	525
452	434	524
453	434	522
454	435	521
455	436	520
456	436	518
457	437	517
458	437	515
459	438	514
460	438	512
461	439	511
462	439	509
463	440	508
464	440	506
465	441	505
466	441	504
467	442	502
468	442	501
469	443	499
470	443	498
471	444	496
472	444	495
473	445	493
474	445	492
475	446	491
476	446	489
477	447	488
478	447	486
479	448	485
480	448	483
481	449	482
482	449	481
483	449	479
484	450	478
485	450	476
486	451	475
487	451	474
488	452	472
489	452	471
490	453	470
491	453	468
492	454	467
493	454	466
494	455	464
495	456	463
496	456	462
497	457	460
498	457	459
499	458	458
500	458	457
501	459	455
502	460	454
503	460	453
504	461	451
505	461	450
506	461	449
507	462	447
508	462	446
509	463	445
510	464	444
511	464	442
512	465	441
513	465	440
514	466	438
515	466	437
516	467	436
517	467	435
518	468	433
519	468	432
520	469	431
521	469	429
522	469	428
523	470	427
524	471	426
525	471	424
526	471	423
527	472	422
528	472	421
529	473	419
530	473	418
531	474	417
532	474	415
533	475	414
534	475	413
535	476	412
536	476	410
537	477	409
538	477	408
539	477	407
540	478	405
541	478	404
542	479	403
543	479	402
544	480	400
545	480	399
546	481	398
547	481	397
548	482	396
549	482	394
550	482	393
551	483	392
552	484	391
553	484	390
554	485	388
555	485	387
556	486	386
557	486	385
558	486	384
559	487	382
560	488	381
561	488	380
562	489	379
563	489	378
564	490	377
565	490	376
566	491	375
567	492	374
568	492	373
569	493	372
570	493	371
571	494	369
572	494	368
573	495	367
574	496	366
575	496	365
576	497	364
577	497	363
578	498	362
579	498	361
580	499	360
581	499	358
582	500	357
583	500	356
584	501	355
585	501	354
586	502	353
587	502	352
588	503	351
589	503	349
590	504	348
591	504	347
592	504	346
593	505	345
594	505	344
595	506	343
596	506	342
597	507	341
598	507	339
599	508	338
600	508	337
601	509	336
602	509	335
603	510	334
604	510	333
605	511	332
606	511	331
607	511	330
608	512	328
609	512	327
610	513	326
611	513	325
612	514	324
613	514	323
614	515	322
615	515	321
616	516	320
617	516	319
618	517	318
619	517	317
620	518	316
621	518	315
622	519	314
623	519	313
624	520	312
625	521	311
626	521	310
627	521	309
628	522	308
629	523	307
630	523	306
631	524	305
632	524	304
633	525	303
634	525	302
635	526	301
636	526	300
637	527	299
638	527	298
639	528	297
640	528	296
641	529	295
642	529	293
643	529	292
644	530	291
645	531	291
646	531	290
647	532	289
648	532	288
649	533	287
650	533	286
651	534	285
652	534	284
653	535	283
654	535	282
655	536	281
656	536	280
657	537	279
658	537	278
659	538	277
660	538	276
661	539	275
662	539	274
663	540	273
664	540	272
665	541	271
666	541	270
667	542	269
668	542	268
669	543	267
670	543	266
671	544	265
672	544	264
673	545	263
674	545	262
675	546	261
676	547	260
677	547	260
678	548	259
679	548	258
680	549	257
681	550	256
682	550	255
683	551	254
684	551	253
685	552	252
686	553	251
687	553	251
688	554	250
689	554	249
690	555	248
691	556	247
692	556	246
693	557	245
694	558	244
695	558	244
696	559	243
697	559	242
698	560	241
699	561	240
700	561	239
701	562	238
702	562	237
703	563	236
704	564	236
705	564	235
706	565	234
707	565	233
708	566	232
709	566	231
710	567	230
711	567	229
712	568	228
713	569	227
714	569	227
715	570	226
716	570	225
717	571	224
718	572	223
719	572	222
720	573	221
721	574	221
722	574	220
723	575	219
724	575	218
725	576	217
726	577	216
727	577	215
728	578	214
729	578	214
730	579	213
731	580	212
732	580	211
733	581	210
734	581	209
735	582	208
736	583	208
737	583	207
738	584	206
739	585	205
740	585	204
741	586	203
742	586	202
743	587	202
744	588	201
745	588	200
746	589	199
747	589	198
748	590	197
749	590	196
750	591	196
751	592	195
752	592	194
753	593	193
754	593	192
755	594	191
756	595	191
757	595	190
758	596	189
759	596	188
760	597	187
761	597	186
762	598	185
763	599	185
764	599	184
765	600	183
766	600	182
767	601	181
768	601	180
769	602	179
770	603	179
771	603	178
772	604	177
773	604	176
774	605	175
775	605	174
776	606	174
777	606	173
778	607	172
779	608	171
780	608	170
781	609	169
782	609	169
783	610	168
784	610	167
785	611	166
786	612	165
787	612	164
788	613	164
789	613	163
790	614	162
791	615	161
792	615	160
793	616	159
794	616	159
795	617	158
796	617	157
797	618	156
798	619	155
799	619	154
800	620	154
801	620	153
802	621	152
803	621	151
804	622	150
805	623	149
806	623	149
807	624	148
808	624	147
809	625	146
810	625	145
811	626	145
812	627	144
813	627	143
814	628	142
815	628	141
816	629	140
817	629	140
818	630	139
819	631	138
820	631	137
821	632	136
822	632	136
823	633	135
824	634	134
825	634	133
826	635	132
827	635	132
828	636	131
829	636	130
830	637	129
831	637	128
832	638	127
833	638	127
834	639	126
835	639	125
836	640	124
837	641	123
838	641	123
839	642	122
840	643	121
841	643	120
842	644	120
843	645	119
844	645	118
845	646	117
846	646	116
847	647	116
848	647	115
849	648	114
850	648	113
851	649	112
852	649	111
853	650	111
854	650	110
855	651	109
856	652	108
857	652	108
858	653	107
859	653	106
860	654	105
861	654	104
862	655	104
863	655	103
864	656	102
865	656	101
866	657	100
867	657	100
868	658	99
869	658	98
870	659	97
871	660	96
872	660	96
873	661	95
874	661	94
875	662	93
876	662	92
877	663	92
878	663	91
879	664	90
880	664	89
881	664	88
882	665	88
883	665	87
884	666	86
885	666	85
886	667	85
887	667	84
888	668	83
889	668	82
890	669	81
891	669	81
892	670	80
893	670	79
894	671	78
895	671	77
896	672	77
897	672	76
898	673	75
899	673	74
900	674	74
901	674	73
902	675	72
903	675	71
904	676	70
905	676	70
906	677	69
907	677	68
908	678	67
909	678	67
910	679	66
911	680	65
912	680	64
913	681	64
914	682	63
915	682	62
916	683	61
917	684	61
918	684	60
919	685	59
920	685	58
921	686	58
922	687	57
923	687	56
924	688	55
925	689	55
926	689	54
927	690	53
928	691	52
929	691	52
930	692	51
931	692	50
932	693	49
933	693	49
934	694	48
935	694	47
936	695	46
937	696	46
938	697	45
939	697	44
940	698	43
941	698	43
942	699	42
943	700	41
944	700	40
945	701	40
946	701	39
947	702	38
948	703	37
949	703	37
950	704	36
951	704	35
952	705	34
953	706	34
954	706	33
955	707	32
956	707	31
957	708	31
958	709	30
959	709	29
960	710	28
961	710	28
962	711	27
963	712	26
964	712	25
965	713	25
966	713	24
967	714	23
968	714	22
969	715	22
970	716	21
971	716	20
972	717	19
973	717	19
974	718	18
975	718	17
976	719	16
977	720	16
978	720	15
979	721	14
980	721	13
981	722	13
982	722	12
983	723	11
984	724	11
985	724	10
986	725	9
987	725	8
988	726	8
989	727	7
990	727	6
991	728	5
992	729	5
993	729	4
994	730	3
995	730	2
996	731	2
997	732	1
998	732	0
999	733	0
